time (UTC),latitude (degrees_north),longitude (degrees_east),TEMP_SBE37_MEAN (degree_C)
2021-08-01 14:00:00+00:00,19.2656656,-65.3818816,28.4053
2021-08-01 14:05:00+00:00,19.2668704,-65.3821696,28.4048
2021-08-01 14:10:00+00:00,19.2679584,-65.382496,28.4146
2021-08-01 14:15:00+00:00,19.2691728,-65.3827968,28.4493
2021-08-01 14:20:00+00:00,19.2704208,-65.3830912,28.474
2021-08-01 14:25:00+00:00,19.2717952,-65.383488,28.4841
2021-08-01 14:30:00+00:00,19.273152,-65.3838976,28.4726
2021-08-01 14:35:00+00:00,19.2745632,-65.3842304,28.4595
2021-08-01 14:40:00+00:00,19.27576,-65.3845696,28.4593
2021-08-01 14:45:00+00:00,19.2766048,-65.3849088,28.471
2021-08-01 14:50:00+00:00,19.2773472,-65.385248,28.4796
2021-08-01 14:55:00+00:00,19.2780384,-65.3854592,28.4757
2021-08-01 15:00:00+00:00,19.2789056,-65.38576,28.4902
2021-08-01 15:05:00+00:00,19.2800128,-65.3860416,28.5011
2021-08-01 15:10:00+00:00,19.28088,-65.3862912,28.5164
2021-08-01 15:15:00+00:00,19.2819552,-65.3865792,28.527
2021-08-01 15:20:00+00:00,19.282872,-65.3868864,28.5283
2021-08-01 15:25:00+00:00,19.2835232,-65.3872128,28.5176
2021-08-01 15:30:00+00:00,19.28432,-65.3876032,28.5215
2021-08-01 15:35:00+00:00,19.2850496,-65.3878976,28.5093
2021-08-01 15:40:00+00:00,19.2858912,-65.388192,28.5356
2021-08-01 15:45:00+00:00,19.2866224,-65.3885696,28.5322
2021-08-01 15:50:00+00:00,19.2874736,-65.388864,28.5492
2021-08-01 15:55:00+00:00,19.2885488,-65.3891904,28.5616
2021-08-01 16:00:00+00:00,19.2895824,-65.3895168,28.6155
2021-08-01 16:05:00+00:00,19.2907232,-65.389888,28.5903
2021-08-01 16:10:00+00:00,19.2914576,-65.3902656,28.581
2021-08-01 16:15:00+00:00,19.292376,-65.3906176,28.5761
2021-08-01 16:20:00+00:00,19.2936272,-65.390976,28.578
2021-08-01 16:25:00+00:00,19.2945984,-65.3913536,28.6013
2021-08-01 16:30:00+00:00,19.2956736,-65.391744,28.5812
2021-08-01 16:35:00+00:00,19.2966096,-65.3921088,28.5982
2021-08-01 16:40:00+00:00,19.2974848,-65.3924608,28.5908
2021-08-01 16:45:00+00:00,19.2983536,-65.3928384,28.6012
2021-08-01 16:50:00+00:00,19.2994,-65.3931456,28.5955
2021-08-01 16:55:00+00:00,19.300448,-65.3934976,28.5998
2021-08-01 17:00:00+00:00,19.3016592,-65.3938048,28.607
2021-08-01 17:05:00+00:00,19.302728,-65.3941632,28.6443
2021-08-01 17:10:00+00:00,19.3037984,-65.3945536,28.7455
2021-08-01 17:15:00+00:00,19.304992,-65.394912,28.7276
2021-08-01 17:20:00+00:00,19.3059392,-65.3953152,28.6933
2021-08-01 17:25:00+00:00,19.3070432,-65.3956608,28.6863
2021-08-01 17:30:00+00:00,19.308296,-65.3960576,28.6758
2021-08-01 17:35:00+00:00,19.3091696,-65.396384,28.6597
2021-08-01 17:40:00+00:00,19.3099856,-65.3967552,28.671
2021-08-01 17:45:00+00:00,19.311024,-65.397088,28.6733
2021-08-01 17:50:00+00:00,19.3118224,-65.3975168,28.6831
2021-08-01 17:55:00+00:00,19.3124912,-65.3978624,28.7282
2021-08-01 18:00:00+00:00,19.3133312,-65.3982208,28.727
2021-08-01 18:01:00+00:00,19.31352,-65.3982848,28.727
2021-08-01 18:31:00+00:00,19.3189424,-65.40032,28.7082
2021-08-01 19:00:00+00:00,19.324696,-65.402112,28.671
2021-08-01 19:05:00+00:00,19.3255152,-65.4023744,28.6728
2021-08-01 19:10:00+00:00,19.3263504,-65.4026496,28.6855
