"basisOfRecord","organismID","eventDate","occurrenceID","decimalLatitude","decimalLongitude","geodeticDatum","scientificName","scientificNameID","eventID","kingdom","taxonRank","occurrenceStatus","sex","lifeStage"
"HumanObservation","105838_great_white_shark","2009-09-23T00:00:00Z","2009-09-23T00:00:00Z_0_great_white_shark",34.03,-118.56,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-23T00:00:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-09-25T06:42:00Z","2009-09-25T06:42:00Z_0_great_white_shark",23.59,-166.18,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-25T06:42:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-09-25T11:09:00Z","2009-09-25T11:09:00Z_0_great_white_shark",34.024,-118.556,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-25T11:09:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-09-25T11:11:00Z","2009-09-25T11:11:00Z_0_great_white_shark",34.035,-118.549,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-25T11:11:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-09-27T17:58:00Z","2009-09-27T17:58:00Z_0_great_white_shark",34.033,-118.547,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-27T17:58:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-09-30T05:01:00Z","2009-09-30T05:01:00Z_0_great_white_shark",33.517,-119.75,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-09-30T05:01:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-10-08T20:24:00Z","2009-10-08T20:24:00Z_0_great_white_shark",34.038,-118.581,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-10-08T20:24:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-10-15T11:05:00Z","2009-10-15T11:05:00Z_0_great_white_shark",33.995,-118.678,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-10-15T11:05:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-10-17T06:11:00Z","2009-10-17T06:11:00Z_0_great_white_shark",34.037,-118.545,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-10-17T06:11:00Z","Animalia","Species","present","male","juvenile"
"MachineObservation","105838_great_white_shark","2009-10-17T09:00:00Z","2009-10-17T09:00:00Z_0_great_white_shark",34.026,-118.534,"EPSG:4326","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838","great_white shark_2009-10-17T09:00:00Z","Animalia","Species","present","male","juvenile"
